,X14G2.6M.2,X14G3.7M.2,X14G4.8M.1,X14G4.8M.2,X7G1.1M.1,X7G1.1M.merged,X7G3.3M.2,X7G4.4M.2
POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001934,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051130,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
BIOLOGICAL REGULATION%GOBP%GO:0065007,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
POSITIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048518,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
REGULATION OF TRANSMEMBRANE TRANSPORT%GOBP%GO:0034762,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031399,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051240,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SIGNAL TRANSDUCTION%GOBP%GO:0007165,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008277,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0010562,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF ENDOCYTOSIS%GOBP%GO:0045807,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031401,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
AMYLOID-BETA CLEARANCE%GOBP%GO:0097242,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
"POSITIVE REGULATION OF PHAGOCYTOSIS, ENGULFMENT%GOBP%GO:0060100",0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SIGNALING%GOBP%GO:0023052,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0045745,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF PHOSPHORYLATION%GOBP%GO:0042327,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF LIPID STORAGE%GOBP%GO:0010883,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF GENE EXPRESSION%GOBP%GO:0010468,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF GROWTH%GOBP%GO:0045927,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
REGULATION OF SIGNALING%GOBP%GO:0023051,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR PROCESS%GOBP%GO:0009987,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF APOPTOTIC CELL CLEARANCE%GOBP%GO:2000427,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
GENERATION OF NEURONS%GOBP%GO:0048699,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELL JUNCTION ORGANIZATION%GOBP%GO:0034330,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002684,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001819,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
NEURON REMODELING%GOBP%GO:0016322,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF LIPID LOCALIZATION%GOBP%GO:1905954,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
B CELL ACTIVATION%GOBP%GO:0042113,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
COMPLEMENT ACTIVATION%GOBP%GO:0006956,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
NEUROGENESIS%GOBP%GO:0022008,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SYSTEM DEVELOPMENT%GOBP%GO:0048731,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF TRANSPORT%GOBP%GO:0051049,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF RECEPTOR-MEDIATED ENDOCYTOSIS%GOBP%GO:0048259,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF VESICLE-MEDIATED TRANSPORT%GOBP%GO:0060627,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
IMMUNE RESPONSE%GOBP%GO:0006955,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0032501,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR RESPONSE TO STIMULUS%GOBP%GO:0051716,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CENTRAL NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0007417,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
LEUKOCYTE ACTIVATION%GOBP%GO:0045321,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGIONALIZATION%GOBP%GO:0003002,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF MEMBRANE INVAGINATION%GOBP%GO:1905155,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
VISUAL SYSTEM DEVELOPMENT%GOBP%GO:0150063,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
IMMUNE EFFECTOR PROCESS%GOBP%GO:0002252,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR DEVELOPMENTAL PROCESS%GOBP%GO:0048869,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031323,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELL MATURATION%GOBP%GO:0048469,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031325,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF TRIGLYCERIDE METABOLIC PROCESS%GOBP%GO:0090207,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELL ACTIVATION%GOBP%GO:0001775,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SYNAPSE PRUNING%GOBP%GO:0098883,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF CELL GROWTH%GOBP%GO:0001558,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010557,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
ANATOMICAL STRUCTURE MATURATION%GOBP%GO:0071695,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
RESPONSE TO STIMULUS%GOBP%GO:0050896,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF TRIGLYCERIDE BIOSYNTHETIC PROCESS%GOBP%GO:0010866,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
POSITIVE REGULATION OF GLUCOSE TRANSMEMBRANE TRANSPORT%GOBP%GO:0010828,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
EUCHROMATIN%GOCC%GO:0000791,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
ENDOPLASMIC RETICULUM LUMEN%GOCC%GO:0005788,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
EXTRACELLULAR ORGANELLE%GOCC%GO:0043230,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043227,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
EXTRACELLULAR VESICLE%GOCC%GO:1903561,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
MEMBRANE-ENCLOSED LUMEN%GOCC%GO:0031974,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
CHROMATIN%GOCC%GO:0000785,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
AZUROPHIL GRANULE%GOCC%GO:0042582,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR ANATOMICAL ENTITY%GOCC%GO:0110165,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
EXTRACELLULAR SPACE%GOCC%GO:0005615,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CYTOPLASMIC VESICLE LUMEN%GOCC%GO:0060205,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
EXTRACELLULAR REGION%GOCC%GO:0005576,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
VESICLE LUMEN%GOCC%GO:0031983,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
ENDOPLASMIC RETICULUM%GOCC%GO:0005783,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
EXTRACELLULAR MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0065010,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
BLOOD MICROPARTICLE%GOCC%GO:0072562,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
PROTEIN-DNA COMPLEX%GOCC%GO:0032993,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
ENDOMEMBRANE SYSTEM%GOCC%GO:0012505,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
INTRACELLULAR ORGANELLE%GOCC%GO:0043229,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
CYTOPLASMIC VESICLE%GOCC%GO:0031410,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CYTOPLASM%GOCC%GO:0005737,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
NUCLEUS%GOCC%GO:0005634,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
CELLULAR_COMPONENT%GOCC%GO:0005575,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
INTRACELLULAR NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043232,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
VACUOLAR LUMEN%GOCC%GO:0005775,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELL PERIPHERY%GOCC%GO:0071944,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SECRETORY VESICLE%GOCC%GO:0099503,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
EXTRACELLULAR EXOSOME%GOCC%GO:0070062,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
VACUOLE%GOCC%GO:0005773,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SECRETORY GRANULE LUMEN%GOCC%GO:0034774,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
INTRACELLULAR VESICLE%GOCC%GO:0097708,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
INTRACELLULAR ANATOMICAL STRUCTURE%GOCC%GO:0005622,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
PROTEIN-CONTAINING COMPLEX%GOCC%GO:0032991,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043228,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
NUCLEOPLASM%GOCC%GO:0005654,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
LYSOSOME%GOCC%GO:0005764,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
INTRACELLULAR MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043231,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
PLASMA MEMBRANE%GOCC%GO:0005886,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SECRETORY GRANULE%GOCC%GO:0030141,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CHROMOSOME%GOCC%GO:0005694,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
MEMBRANE%GOCC%GO:0016020,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
LYTIC VACUOLE%GOCC%GO:0000323,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
INTRACELLULAR ORGANELLE LUMEN%GOCC%GO:0070013,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
ORGANELLE LUMEN%GOCC%GO:0043233,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
AZUROPHIL GRANULE LUMEN%GOCC%GO:0035578,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
VESICLE%GOCC%GO:0031982,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
NUCLEAR LUMEN%GOCC%GO:0031981,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
ORGANELLE%GOCC%GO:0043226,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
PRIMARY LYSOSOME%GOCC%GO:0005766,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SIGNAL TRANSDUCTION%GOMF%GO:0007165,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
PROTEIN-CONTAINING COMPLEX BINDING%GOMF%GO:0044877,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
PROTEIN BINDING%GOMF%GO:0005515,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
CELLULAR RESPONSE TO STIMULUS%GOMF%GO:0051716,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
BIOLOGICAL REGULATION%GOMF%GO:0065007,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
MOLECULAR FUNCTION REGULATOR ACTIVITY%GOMF%GO:0098772,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SIGNALING%GOMF%GO:0023052,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
BINDING%GOMF%GO:0005488,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
RESPONSE TO STIMULUS%GOMF%GO:0050896,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELLULAR PROCESS%GOMF%GO:0009987,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CHROMATIN DNA BINDING%GOMF%GO:0031490,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
NUCLEOSOME BINDING%GOMF%GO:0031491,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
NUCLEIC ACID BINDING%GOMF%GO:0003676,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
DNA BINDING%GOMF%GO:0003677,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
ORGANIC CYCLIC COMPOUND BINDING%GOMF%GO:0097159,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
SIGNALING RECEPTOR ACTIVATOR ACTIVITY%GOMF%GO:0030546,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
SIGNALING RECEPTOR REGULATOR ACTIVITY%GOMF%GO:0030545,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
REGULATION OF BIOLOGICAL PROCESS%GOMF%GO:0050789,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
G PROTEIN-COUPLED RECEPTOR BINDING%GOMF%GO:0001664,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CHROMATIN BINDING%GOMF%GO:0003682,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
MOLECULAR_FUNCTION%GOMF%GO:0003674,0.570395977,0.837837838,-0.743243243,-0.371621622,-0.013513514,0.446705132,0.222972973,-0.562588905
REGULATION OF CELLULAR PROCESS%GOMF%GO:0050794,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
NUCLEOSOMAL DNA BINDING%GOMF%GO:0031492,-0.315436242,0.825503356,-0.704697987,-0.463087248,0.463087248,0.785234899,0.194630872,0.395973154
SIGNALING RECEPTOR BINDING%GOMF%GO:0005102,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
BIOLOGICAL_PROCESS%GOMF%GO:0008150,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
CELL COMMUNICATION%GOMF%GO:0007154,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
RECEPTOR LIGAND ACTIVITY%GOMF%GO:0048018,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
MOLECULAR FUNCTION ACTIVATOR ACTIVITY%GOMF%GO:0140677,0.838926174,0.838926174,-0.771812081,-0.275167785,-0.489932886,-0.409395973,0.248322148,-0.879194631
